Capverdian Creole,Portuguese,English
"Pora jás te até puste lista de inscritos p exame, inda broda ke pô nota","Pora já até colocaram as lista de inscritos para o exame, e ainda o nosso amigo não colocou as notas","Damn, they even put the list of candidates for the exam, and still our friend didn't put the grades"
klár cada um te fazê se parte,claro cada um faz a sua parte,of course everyone does their part
"mim, kel man lá te mata gente","Eu, aquele gajo nos tira do sério","Me, that guy takes us from serious"
go ke já bô txega,Agora que tu já chegaste,Now that you have arrived
e mim segunda m te kmeça trabôi,E eu começo a trabalhar na segunda,And I start working on Monday
"Sim, aí tem bem ot psoa p escreve kel email","Sim, aí tem de vir outra pessoa escrever o email","Yes, then someone else has to come and write the email"
kel gaz deve despaxam p m podê resolve nhá vida,aquele gajo deve me despachar para eu poder resolver a minha vida,that guy should get rid of me so i can sort my life out
E ukê ke sidney dzêbe?,E o que foi que o Sidney te disse?,And what did Sidney tell you?
"foi sobre ukê ke Paulo tinha nos dzide, e el dzê p m passa lá segunda detarde","foi sobre o que o Paulo tinha nos dito, e ele disse para eu passar ai na segunda de tarde","It was about what Paulo had told us, and he told me to pass there on Monday afternoon"
Es te bá paga nos nem?,Eles vão pagar a gente nem?,"Will they pay us, not?"
Sidney falá so ne contribui nunca el falá ne preço,O Sidney falou só em contribuir e nunca falou de preço,Sidney spoke just to contribute and never spoke of price
El ê só venha nós,Ele é só venha a nós,He is just come to us
"Má mim te des um mom e k, sempre já ê kualker cosa p bô ne nhá documentação","Mas eu posso lhes dar uma mão e que, sempre já é alguma coisa para colocar nas minhas documentações",But I can give them a hand and that is always something to put in my documentation.
Emanuel já pô algum cosa?,O Emanuel já colocou qualquer coisa?,Has Emanuel already put anything?
El so dzê nota primer trobôi de SS mes nada,Ele só disse a primeira nota do trabalho de SS e mais nada,He just said the first grade of SS's work and nothing else
E manera ke foi?,E como é que foi?,And how did it go?
"Mim tive 15 ne el, e bô manera?","Eu tive 15 nele, e tu como foi?","I had 15 in it, and how did you go?"
"Inda ke nem xpiál, el pol ne Classroom?","Ainda não o vi, ele o colocou no Classroom?","I haven't seen it yet, did he put it in the Classroom?"
Yh ne kel primer trabalho prático,Yh no primeiro trabalho prático,Yh in the first practical work
jáme te bem xpiá,Já já eu o vou ver,I'll see you now
Mi te xtranha el êne dzêm nada de meriód també,Eu até achei estranho ele não ter me dito nada de errado também,I even found it strange that I didn't tell me anything wrong too
Calmá ainda te na temp,"Calma, ainda há tempo para isso","Calm, there is still time for that"
El te dá nos el ne Sistemas de Telecomunicações,Ele vais nos o entregar em Sistemas de Telecomunicações,He will deliver it to us in Telecommunications Systems
Sim ê dvera,Sim é verdade,Yes it's true
"Má se ê agora kel tite corrigi kes trabôi de Sistemas e Sinais, até segunda el ke tite bá tem temp de corrigi kes de Sistemas de Telecomunicações?","Mas se é agora que ele está a corrigir os trabalhos de Sistemas e Sinais, até segunda ele terá corrigido os de Sistemas de Telecomunicações?","But if it is now that he is correcting the work on Systems and Signals, by Monday will he have corrected the work on Telecommunications Systems?"
E el tem ke fazê random,E ele tem que ir fazer um random,And he has to go do a random
Oia bô lógica kkk,Olha para a tua lógica kkk,Look at your logic kkk
El dáme  12,Ele me deu 12,He gave me 12
Manera ke possível,Como que isso é possível,How is this possible
"Ess ke nhá pergunta prop, mim má bô te fazê tud igual","Esta é a minha pergunta, você e eu fizemos tudo igual","This is my question, you and I did everything the same"
"Calma, el erra cáculo, so podê","Calma, ele errou nos cálculos, só pode ser","Calm down, he made a mistake in the calculations, it can only be"
"jál kmessal logue meriód, e einda nem len txegá ne Sistemas de Telecomunicações","Ele já o começou logo mal, e ainda ele nem chegou em Sistemas de Telecomunicações","He already started it badly, and he still hasn't even gotten to Telecommunications Systems"
lá ke pior,Ai que é pior,Oh that's worse
"Te xpêra kel te pensa um kzinha ne kes próximo, sel corrigis klár","Espero que pensou em pouco nos próximos, se ele os corrigiu claro","I hope you thought in the next few, if he corrected them clear"
lá agora um te prop ke med,alí eu estou mesmo com medo,there I'm really scared
"mim p falób verdade, te preferi passa ne Sistema de Telecomunicações do ke Sistemas e Sinais, porkê Sistemas e Sinais ê mes descontra","Eu para falar a verdade prefiro passar em Sistemas de Telecomunicações do que em Sistemas e Sinais, pois Sistemas e Sinais é mais relaxado","To tell you the truth, I prefer to pass on Telecommunications Systems than Systems and Signals, because Systems and Signals is more relaxed"
Sim moss kes cosa de Sistemas de Telecomunicações ê chat,"Sim rapaz, aquelás coisas de Sistemas de Telecomunicações são mais chatas","Yes boy, those stuff of telecommunications systems are more boring"
Kel chat e favor,chato é favor,boring is favor
Má jáme oia ke no te fudid,Mas já vi que nós estamos fudidos,But I've seen that we are fucked
"já bô sebê kuale êm, cumplicód... Só resta espera sentença final","Tu já sabês como é, complicado... Só resta esperar a sentença final","You already know how it is, complicated... All that remains is to wait for the final sentence"
xpêra kel te ser justa,Eu espero que ela seja justa,I expect it to be fair
Te xpêra ke sim kkkk,Espero mesmo kkk,I really hope kkk
Ntom el te pô nota te hoje nem,Então ele colocará as notas até hoje nem,So he will put the grades until today
Te prop li te xpêral,Eu estou mesmo aqui a espera,I'm really waiting here
einda nada nem,Ainda nada nem,Yet nothing
Condê el pos bô manadame um print ke um te sem internet,"quando ele os colocarem, tu me envias um print porque eu estou sem internet","When he puts them, you send me a print because I'm without the internet"
"mim tei so te xpiá, isse e Condê el pos, se el pos","estou aqui só a ver, isso é só quando ele os colocar, se ele os colocar","I'm here just seeing, this is only when he puts them, if he puts them"
"Moss, má isse já ê abuso","Rapaz, mas isso já é abuso","Boy, but that's abuse already"
Pior ê no xpêra tontê essim e el dá nos resultód meriód,Pior é nós esperarmos tanto e ele nos dar resultados errados,Worse is we expect so much and he gives us wrong results
Kel ke pior prop,Isso que é pior mesmo,This is even worse
Professor ê abusad,O professor é abusado,The teacher is abused
Bô te oia,Tu estás à ver,you are watching
"Falta 1 dia p exame, e einda nada de kel man","Falta um dia para o exame, e ainda nada do gajo","One day for the exam, and yet nothing of the guy"
jál dá nota de kel ot trabôi?,Ele já deu a nota do outro trabalho?,Has he already graded the other job?
m oia conversa kel dzê Txoba,Eu vi a conversa que ele disse para o Txoba,I saw the conversation he said to Txoba
Tontê ke el dób?,Quanto foi que ele te deu?,How much did he give you?
Mim já dsisti de xpêra seja o ke for ne kes disciplina,Eu já desisti de esperar seja o que for naquelás disciplinas,I've already given up waiting for anything in those subjects
"Se for p fazê proximo one, te fazêl e pont final","Se for para ir fazer no próximo ano, vou ai fazer e ponto final","If I'm going to do it next year, I'll do it there and that's final"
"Nera, mim el dame 13 nesse ote trabôi","Sim claro, eu ele me deu 13 neste trabalho","Yes claro, I gave me 13 in this work"
"Mim tive 11, einda el dzê ke m tem exercícios iguais, a otes psoa e el êne de tolera isse e k","Eu tive 11, e ainda ele me disse que eu tenho exercícios iguais a outras pessoas e ele não tolera isso e que","I had 11, and still he told me that I have exercises like other people and he does not tolerate it and that"
"So ke de facto el tem razão, hoje m prendê uns dos cosa","Só que ele tem razão, hoje eu aprendi algumas coisas","But he's right, today I learned a few things"
Asserio kel dzêb iss?,A sério que ele te disse isso?,Seriously he told you that?
"Talvez el corrigí nhá trabôi primeiro, sel tava corrigi kel bôssa primer mim kel tava dá esse falá","Talvez ele corrigiu o meu trabalho primeiro, se ele corrigisse o teu primeiro era eu que ele ia dizer estas conversas","Maybe he corrected my work first, if he corrected yours first I would be the one to say these conversations"
"Má paciência go, krê oia ukê kel tem dzê ne kes ote","Mas paciência agora, quero só ver o que ele vai dizer os outros","But patience now, I just want to see what he will say to others"
E Sistemas de Telecomunicações el ke te dzê gente nada,E Sistemas de Telecomunicações ele ainda não disse nada para a gente,And telecommunications systems he hasn't said nothing to us yet
"Sel segui kes lógica, no te pirdid lá","Se ele seguir com essa lógica, aí nós estamos perdidos","If he follows with this logic, then we are lost"
No te prop fudid,Nós estamos mesmo fodidos,We are even fucked up
Por acaso bô inscreve p exame?,Por acaso tu te inscreveste para o exame?,Did you subscribe to the exam?
Tonte kel dób ne kel trabôi sobre filtragem?,Quanto é que ele te deu no trabalho sobre filtragem?,How much did he give you for work on filtering?
"Te otxá ke no te passa, sel ke corrigi kes teste","Eu acho que nós vamos passar, se ele não corrigir os testes",I think we'll pass if he doesn't correct the tests
"Eh moss, bô te usa kel email de sala","O rapaz, tu poderias utilizar o email da sala","Oh boy, you could use the room email"
m te usa so kel de xcolá,eu utilizo só o da escola,I only use the school one
m cris manda Carla um email,eu queria enviar um email para a Carla,I wanted to send an email to Carla
"No tem ke pol pressão ,exame ê manhá.","Nós temos de colocar pressão, o exame é amanhã.","We have to put pressure, the exam is tomorrow."
pensa era hoje,pensei que era hoje,I thought it was today
"Joana, bei xpiá lá bei, e bô tite bei oia ke m te drete","Joana, vai lá e veja, e tu verás que eu estou certo","Joana, go there and see, and you'll see that I'm right"
Kel exame de Sistemas e Sinais agora ê dia 3,O exame de Sistemas e Sinais agora é dia 3,The Systems and Signals exam is now day 3
"Ago ke professor tita pô kes nota, bô te kerdita.","Agora que o professor está a colocar as notas, tu acredita.","Now that the teacher is putting the grades, you believe."
Bô êne inscreve p exame?,Tu não inscreveste para o exame?,You didn't sign up for the exam?
Não,Não,No
"mim jám passa ne Sistemas e Sinais, e bô?","Eu já passei em Sistemas e Sinais, e tu?","I've moved into systems and signals, and you?"
"Inda el ke dame nota, mim tive 13","Ainda ele não me deu a minha nota, eu tive 13","He still didn't give me my grade, I had 13"
krê so oia sistemas de telecomunicações,Quero só ver sistemas de telecomunicações,I just want to see telecommunications systems
P mim kel ke m te mas curiose,Para mim aquele é o que eu estou mais curioso,For me that's what I'm most curious about.
Aí ke vai ser merda...,Aí que vai ser merda...,Then it's gonna be shit...
um dor de cada vez,uma dor de cada vez,One pain at a time
"Maria, podê contób um cosa?","Maria, posso te contar algo?","Maria, can I tell you something?"
"bô sebê kel femá ke m dzêb tava xtód te fcá má el... el dá corte ne nos muf e tal, porkê el te confusa e tal","Tu sabês aquelá miúda que eu te disse que estava a envolver com ela... ela deu fim nas nossas coisas e tal, porque ela está confusa e tal","You know that girl I told you I was getting involved with her... she broke up with our stuff and that, because she's confused and all"
"ntom, ou seja, mural de xtória, m te livre","então, ou seja, mural da história, estou livre","so i.e. mural of history, i'm free"
"sei fora, agora ninguém te aguentób","Sai fora, agora ninguém te aguenta","Get out, now nobody can stand you"
"mim já tava ke uns muf ke m tava te dzê ke não, má gora não","Eu já estava com umas coisas que estava a dizer que não, mas agora não","I already had some things that I was saying no, but not now"
"ess já segunda vez, mim nunca involve p vale, mas p confessób tem uns cosa ke m te realmente gosta ne elá","Essa já é a segunda vez, eu nunca envolvi para valer, mas para te confessar tem umas coisas que eu realmente gosto nelá","This is the second time, I never really got involved, but to confess to you, there are some things I really like about her"
"mas vida ê um sopre, e no te ne verão kkk",mas a vida é um sopro e nós estamos no verão kkk,But life is a breath and we are in summer kkk
Vida ê prop um sopro. tontê ke bô tive?,"Vida é mesmo um sopro, Quanto tu tiveste?","Life is really a breath, how much did you have?"
Má Sónia no sebê ke por parte el tem razão,Mas Sónia nós sabemos que por partes ele tem razão,But Sónia we know that by parts he is right
"el podê ter trozód ne dá nota, mas mim ciente ke mim êne fazê muita coisa","ele pode ter tirado da nota, mas eu sou ciente que não fiz muita coisa","he may have taken it off the grade, but I'm aware I didn't do much"
Má maltas ê logue konte de txemal,mas o pessoal vêm logo com ideias de o chamar,but the staff soon come with ideas to call him
"ê isse maltas pensa so mode el demorá, el tem ke ser obrigód a dób kel nota","É isso, o pessoal pensa que só por que ele demorou, ele tem de ser obrigado a te dar a nota","That's it, people think that just because he took so long, he has to be forced to give you the grade"
"mim ciente de ukê ke m fazê, e êne foi de kes grande cosa, e m sebê","eu sou ciente de o que eu fiz e não foi grandes coisas, e eu sei","I'm aware of what I did and it wasn't big things, and I know"
"mim basta m fazê o suficiente ke p m passa, mas  nada","Eu basta fizesse o suficiente para passar, mais nada","I just did enough to get through, nothing else"
"Maltas ke sabê comporta, e lá êne dem dondê recláma ke el dá nota de tud kes trabôi","O pessoal não sabe comportar, e aí não há por onde reclámar porque ele deu as notas de todos os trabalhos","The staff doesn't know how to behave, and then there's nothing to complain about because he graded all the works"
oia desculpa dess man,Vê aqui a desculpa dessa gajo,See here the excuse of this guy
"E gora, el fazês drete?","E agora, ele os fez de forma correta?","And now, did he do them correctly?"
Maltas ke sabê manera dirigi p profesor,O pessoal não sabe como se dirigir para os professores,People don't know how to go to teachers
Xtrónhe Txoba ke somá ne ses cosa,Estranho o Txoba não apareceu com as suas coisas,Strange Txoba did not appear with his things
"el te colód, einda el êne dzêm nada mesm","Ele está calado, ainda ele não disse nada mesmo","He's silent, he still didn't say anything"
e Rafa passa?,E o Rafa passou?,And Rafa passed?
"Gora Txoba, um tite otxá mut xtronhê einda el ke manifesta","Agora o Txoba, estou a encontrar muito estranho ainda ele não se manifestou","Now Txoba, I'm finding very strange yet he has not spoken"
El passa també,Ele passou também,He also passed
bei oia ukê ke el xcrevê ne classroom,Vai lá ver o que ele escreveu no classroom,Go see what he wrote in Classroom
e el mandam um mensagem te dzê ke tem partes ne nhá trobôi ktê identica que otes trobôi,e ele disse que tem partes no meu trabalho que se identificam com outros trabalhos,And he said he has parts in my work that identifies with other works
Sónia nes ultimos dias já m prendê uns dos lição,Sónia nos últimos dias eu já aprendi algumas lições,Sonia in recent days I have learned some lessons
próximo semestre mim êne dite bei mesmá coisa p xcolá,No próximo semestre eu não irei a mesmo coisas para a escola,Next semester I won't go to school
Mim inda ke oia,Eu ainda não vi,I have not seen yet
"Bô te podê xpiá lá ne nhá email, please?","Tu consegues ver ai no meu email, por favor?","Can you see there in my email, please?"
"Ke te ke net, e bô tinha ke dam bô email, ou el te xcrite ne nhá book","Não estou com internet, e tinhas que me dar o teu email, ou este está escrito no meu book","I'm not with internet, and you had to give me your email, or this is written in my book"
podê xpiá jáme oies,podes deixar eu já os vi,You can leave me already
"Já el pô nota final, mim já te de féria","Ele já colocou a nota final, eu já estou de férias","He has already put the final grade, I'm already on vacation"
Ess li ke nota final,Esse aqui que é a nota final,This one that is the final grade
sim má ne bô einda el êne pô,sim mas em ti ele ainda não colocou,yes but in you he has not yet put
E mim ei te pensa ke já tinha reprovód,E eu aqui a pensar que já tinha reprovado,And I think here I had already failed
"Essim kel perce, tava te preocupá","Assim eu apareceu, eu já estava a preocupar","So I appeared, I was already worrying"
Má calmá kel ke bôssa einda te gordód,mas calma o que é teu ainda está guardado,But calm down what is yours is still saved
jál dame el,Ele já me o deu,He already gave me
Um tive 13 valores,Eu tive 13 valores,I had 13 values
bô kt sebê,Tu é que estás ótimo,You are great
e bô tive tonte?,e tu tiveste quanto?,And how much did you have?
Pelo menos já no escapa desse vez,Pelo menos já estamos safos dessa vez,At least we are already safos this time
Má m prendê uns dos cosa nes últimos dia,Mas eu aprendi algumas coisas nesses últimos dias,But I learned some things in these last days
No tava bastante enganód ke el ke tava bá oia kes trabôi,Nós estávamos bastante enganados que ele não ia ver os trabalhos,We were quite fooled that he was not going to see the work
Não so iss,Não só isso,Not only that
"Mim tem tmá ote prespetiva, e má tud gente mesm","Eu vou tomar uma outra perspetiva, e com toda gente mesmo","I'm going to take another perspective, and with everyone"
já êne dem dada nhes trobôi pront p mas ninguém,Já não tem a entrega dos meus trabalhos prontos para ninguém,No longer has the delivery of my work ready for anyone
"Kem kizer m tral um duvida ou ke ou mas, apartir dai mas nada","Quem quiser que eu lhe tire algumas dúvidas e que ou mais, a partir daí mais nada","Who wants me to ask you some doubts and that or more, from there nothing more"
já mim tem ser tabua de socorro de mas ninguém mesm,Já não vou ser tabúa de socorro de mais ninguém mesmo,I will no longer be a relief tabúa for anyone else
Astantas bô te xtód ê te prejudica bô mesm,Chega um ponto tu estás a prejudicar a ti mesmo,There is a point you are harming yourself
Exatamente...,Exatamente...,Exactly...
kes falá kel dá gente...,As conversas que ele nos disse...,The conversations he told us ...
Não so mode kel lá,Não só por isso,Not just that
Mim um te otxá ke se êne era dá nhe trabôi p otes pessoa um podia ter mas nota,Eu defendo que se eu não entregasse os meus trabalhos para outras pessoas eu poderia ter muito mais nota,I argue that if I didn't deliver my jobs to other people I could have much more
Isse,Isso,This
"Tipe mim passa tud nhá semestre te krê p tráz e p frente. te mata mim mesm lá ne escola de plomanha a detarde p depos bem envia nhá relatório pronte, p um psoa bei fazê dcêu e einda el te fazêl igual","Tipo eu passei todo o meu semestre a correr para trź e para frente. A matar a mim mesmo ai na escola de manhã à noite para depois ir enviar o meu relatório pronto, para outra pessoa ir fazer o seu e ainda ele faz igual ao meu","Like I spent all my semester running to TRź and forward. Killing myself there at school from morning to night and then send my report ready, for someone else to do yours and still he does the same as mine"
Einda depos bô te fcá penalizód,E ainda depois tu ficas penalizado,And then you are penalized
"Tem maltas ê ke te esforça pá nada, e krê so otxá tud pronte, e isse tite vale p tud gente","Tem um pessoal que não esforça para nada, e querem encontrar tudo pronto, e isso está a valer para todo gente","There are people who do not strive for anything, and want to find everything ready, and this is worth for all people"
Desde de lá de primer one até nos,Desde o primeiro ano até nós,From the first year to us
Já êne mas facilitada ninguém mesm,Já não tem mais facilidades para ninguém mesmo,No longer has facilities for anyone
"Mim prop tem maltas lá na sala ke nunca falá má mim dret, má nes ultimos trabôi es te mandame mensagem p envias cosa","Eu mesma, tem pessoas ai na sala que nunca falaram comigo como deve ser, mas nos últimos trabalhos eles me enviaram mensagens para lhes enviar coisas","Myself, there are people there in the room who never talked to me as it should be, but in the last works they sent me messages to send them things"
"E mim nem pogód mesm, mas nada apartir de agora","E eu nem pago mesmo, mas nada a partir de agora","And I don't even pay, but nothing from now"
Tabom tem ke para kes cosa ê gora,"Já basta, tenho que parar com essas coisas é agora","Enough, I have to stop these things is now"
"Única ajuda ktite sei de mim gora e so opiniões de como fazê p kem kizer, mas nada","A única ajuda que vai sair de mim agora são só opiniões de como fazer para quem quiser, e mais nada","The only help that will leave me now are just opinions on how to do it for anyone, and nothing else"
Mim es falá de profesor doeme prop,Para mim estas conversas do professor me magoaram muito mesmo,For me these conversations of the teacher hurt me a lot
Quarte one cada um já tem ke xtód te podê vende se pexe,No quarto ano cada um tem de estar a poder ver o seu peixe,In the fourth year each has to be able to see its fish
"Sim, e depos bô te fcá penalizód e bô te tmá mesmá nota ke tud gente e ke copia ne bô","Sim, e depois tu ficas penalizado e tu tomas a mesma nota igual a quem copiou em ti","Yes, and then you are penalized and you take the same grade just like who copied in you"
Prope dvera,Mesmo verdade,Really true
te otxá ke es maltas ê ke passa so cupiód ne relatório de gente consciências te pesas,Eu acho que o pessoal que transitou só copiando nos relatórios dos outros a consciência lhes pesa,I think the people who moved just copying in the reports of others the conscience weighs them
"Mim nem krê sebê, já mim êne dem haver...","Eu nem quero saber, já não tenho nada haver...","I don't even want to know, I have nothing to do ..."
"tud ne vida ê p servi de liçao, já m prendê kel minha, cabe a cada um ebri oi","Tudo na vida é para servir de lição, eu já aprendi a minha, cabe a cada um abrir os seus olhos","Everything in life is to serve as a lesson, I already learned mine, it is up to each one to open their eyes"
"Mim també jáme prendê, bô te fazê bem. Bô dem falá ne email?","Eu também já aprendi, tu fazês bem. To me chamaste no email.","I have already learned, you are doing well. I was calling me in the email."
"Era p perguntób sobre kel cosa ke Paulo tava te dzê, se bô txegá fazêl","Era para perguntar sobre o assunto que o Paulo estava a dizer, se já o chegaste a fazer","It was to ask about the subject that Paulo was saying, if you had even done him"
Kual mesm?,Qual mesmo?,Which one?
kel lá de xcolá,O de lá da escola,The school
"Te xtód ne trobôi ne um empresa, ntom mim dive temp te bei te lá","Estou a trabalhar em uma empresa, então eu não tive tempo de ir até aí","I'm working on a company, so I didn't have time to go there"
"M bei 1, 2 dia, mas depos já mim êne consegui bei mas","Eu foi 1, 2 dias, mas depois eu já consegui ir mais","I was 1, 2 days, but then I managed to go more"
"Hum ok, mim també te xtód ne trabôi, e um tava sem móvel por isse ke dzêb nada","Humm ok, eu também me encontro a trabalhar, e estava sem telemóvel por isso que não te disse nada","Hmm ok, I also find myself working, and I was without a mobile phone so that I didn't tell you anything"
Bô te ne job de ukê? dente de nos aria?,Que tipo de trabalho estas? Dentro da nossa área?,What kind of work are you? Within our area?
Te xtód so te fazê uns trobôi de limpeza,Eu ando a fazer só alguns trabalhos de limpeza,I am just doing some cleaning work
Mim te xtód ne um dente de aria de dzênvolvimento,Eu ando em um dentro da área de desenvolvimento,I walk in one within the development area
Bô te continua condê no bá p escola?,Tu irás continuar quando formos para a escola?,Will you continue when we go to school?
Sim m te trebaia fix,Sim eu trabalho fixo,Yes I work fixed
E kondê bô te kmessa te bá p xcóla?,E quando é que tu começas a ir para a escola?,And when do you start going to school?
"Te ke ideia de passa lá segunda, e bô?","Tenho ideia de passar aí na segunda, e tu?","I have the idea to pass there on Monday, and you?"
"Mim ke sabê einda, te xpêras pô horário","Eu não sei ainda, estou a espera de colocarem os horários","I don't know yet, I'm waiting to put the schedules"
Sim mim també,Sim eu também,"Yes, me too"
Tite bei mes so p podê matrículá e pedi kes papel lá,Eu vou mais para poder matriculár e pedir os papéis aí,I will be able to enroll and order the papers there
"Mim també tem ke bá pedis, já ke es te passa kel x temp p entregas","EU também tenho de os ir pedir, já que eles passam x tempo para os entregar","I also have to go to ask, since they spend x time to deliver them"
"Sim por isse ke m te bei lá segunda, e matrículá te fetxá dia 6, depos ke el te torna bei ebri","Sim por isso que vou ai na segunda, e a matrículá fecha no dia 6, depois que ele se abrirá de novo","Yes, that's why I'm going on Monday, and enrollment closes on the 6th, after it will open again"
"Porra, má esse one es fazê semana académica mut ced","Pora, mas este ano eles fizeram a semana académica muito cedo",But this year they did the academic week very early
"M otxel gosterdia, el dzê es te kmeça ced p podê normaliza one letive","Eu o encontrei a dias, ele disse que eles estão a começar mais cedo para poder normalizar o ano letivo","I found him for days, he said they are starting early to normalize the school year"
nó tmá féria mes terdê,nós tivemos férias mais tarde,We had a vacation later
Má na mesm maltas te somá lá p escola so ote semana,Mas na mesma o pessoal irá aparecer só ai para a próxima semana,But in the same people will appear just there for next week
"Mim també kel ke ideia, ou condê es pô horário","Essa é a ideia para mim também, ou quando eles colocarem os horários","This is the idea for me too, or when they put the schedules"
"Ess one no te tem um horario mei xtronhê, plomanha e daterdê...","Este ano nós temos um horário meio estranho, de manhã e à tarde...","This year we have a half strange time, in the morning and in the afternoon ..."
Sim mim te xpêras pô horário,Sim eu estou a espera deles colocarem os horários,Yes I am waiting for them to put the schedules
Bô primer psoa ke m tite falá de lá de sala já tem uns mês,Tu és a primeira pessoa que estou a falar ai da sala já tem uns meses,You are the first person I am talking about there is a few months old
"Como assim? A ê, mim també já falá so má bô","Como assim? Ah sim, eu também já falei só contigo","Like this? Oh yes, I also said only with you"
Maltas de sala te falá so ne temp de aulá,O pessoal da sala só conversam em tempos de aulá,The living room staff only talk in times of Aulá
Tem dia no te tem uns aulá plámanha má kes mnine de tercer one,"Tem dias que temos aulás de manhã, com os meninos do terceiro ano","There are days when we have aulás in the morning, with the third year boys"
Um pensa esse one li ke tinha esse história lá...,Eu pensei que este ano não tinha essa história aí...,I thought this year didn't have this story there ...
"Tem sim, Sidney ke dzêm essim...","Tem sim, o Sidney que me disse...","Yes, Sidney said to me ..."
bô te txem sebê se es pô horário dfavor,Notifica-me se eles colocarem o horário por favor,Notify me if they put the time please
"yh fcá kul ntom, manhá bô tite bei te xcolá?","Yh fica bem então, amanhã tu irás até a escola?","YH is fine then, tomorrow will you go to school?"
mim tem ke bei te lá,eu tenho de ir até aí,I have to go there
Manha um tite bá tmá vacina de COVID,Amanhã eu irei tomar a vacina da COVID,Tomorrow I will get the covid vaccine
mim já tá kes dos,Eu já tomei os dois,I already took the two
Mim ê capaz de bá p escola so quarta ou quinta,Eu sou capaz de ir para a escola só na quarta eu na quinta,I am able to go to school only on Wednesday I on Thursday
"no te oia, já bô sabê...","Nós nos vemos, já sabês...","We see each other, you already know ..."
"Se tiver algum disciplina p fazê grup, bzot incluime lá please","Se tiver alguma disciplina para fazer grupos, vocês me inclui aí please","If you have any discipline to make groups, you include me there please"
"mim má bô de group sempre, bô êne tem treime nes último one nem...","Eu e tu somos de grupo sempre, tu não irás me trair neste último ano, pois não...","You and you are always a group, you will not betray me this last year, not ..."
klár ke não...,claro que não...,of course not...
Manera ke foi aoje? Nada de aulá?,Como foi hoje? Nada de aulás?,How was today? No Aulás?
"Bem provável ke manha seja mesm cosa, má ne mesm te ke ideia de bei.","Bem provável que amanhã seja a mesma coisa, mas na mesma estou com ideia de ir.","Very likely to be the same thing, but I have the idea to go."
Yh kualker cosa interessante bô te txáme sabê,Yh qualquer coisa de interessante tu me deixas saber,Yh anything interesting you let me know
"go no te ke bom grup, Txoba ke gostá nada, nada...","Agora nós estamos com um bom grupo, o Txoba não gostou nada, nada...","Now we have a good group, Txoba didn't like anything, nothing ..."
"El dzê ke no del um pé na bunda, kkk","Ele disse que nós o demos um pé na bunda, kkk","He said we gave him a foot in the ass, kkk"
"Má p nhá xperiencia ke m tive má el, p mim já tabom, el sebê","Mas pela experiência que tive com ele, para mim já está bom, ele sabe","But from the experience I had with him, for me is already good, he knows"
"Má ê bá dvagar, porkê se não","Mas é ir devagar, porque se não","But it is going slowly, because if not"
"mim te descontra, nada haver mesm, descontra prop...","eu estou relaxado, nada haver mesmo, descontra mesmo...","I'm relaxed, there's nothing, really relaxed ..."
"So fazê nos job, no te mes duki descontra mesm","Só fazer o nosso trabalho, nós estamos mais do que reláxados","Just do our work, we are more than relaxed"
E manera ke no tite bá tmá kes slide de hoje?,E como vamos fazer para pegar os slides de hoje?,And how are we going to get the slides today?
"iss ke m krê sebê mesm, se no oial manhá no te dal falá","isso que eu quero saber mesmo, se nós o virmos amanhã o diremos assim","what I really want to know, if we see him tomorrow we will say so"
No tem ke fazê kel cosa de 500 palávra,Nós temos que fazer aquelá coisa de 500 palavras,We have to do that 500 word thing
"boa noite, fcá kul","boa noite, fique bem","Good night, stay well"
Yh te manhá,Yh até amanhã,Yh until tomorrow
manham no te falá ntom,amanhã nós falámos então,Tomorrow we talked then
"M te xkecê m tem uns updates p bô, kondê no sei de aulá m te contób es","Eu esqueci que tenho alguns updates para ti, quando tivermos à sair da aula eu os te contarei","I forgot that I have some updates for you, when we have to leave class I will tell you"
"Ess bô tite dedikem el, so podê ser kkkkk","Este tu o estás a dedicar para mim, só pode ser kkkk","This you are dedicating to me, it can only be kkkk"
"Bô ke dód kkk, bô log lembra ne mim condê bô oia esse meme","Tu és doida kkk, tu lembraste em mim logo quando tu viste este meme","You are crazy kkk, you remembered me as soon as you see this meme"
"Um lembra ke se uns ote pssoa tava intend de programação, bô era bem capaz de dzê isso.","Eu lembrei que se algumas outras pessoas entendessem de programação, tu eras capaz de dizer isso.","I remembered that if some other people understood programming, you could say that."
"Má êne bem essim kkk, cada um ke ses motive","Mas não é bem assim kkk, cada um com os seus motivos","But it's not quite kkk, each with its own reasons"
"Bô sebê, onoh...","Tu sabês, ou não...","You know, or not ..."
Pelo menos ate dondê ke for p ser,Pelo menos até quando for para ser,At least until it is to be
Próximo one bô te trá esse restrição,No próximo ano tu retirarás esta restrição,Next year you will remove this restriction
"ai já ote assunt, te lá já te xtód ke mier","aí já é outro assunto, até aí já estarei com uma mulher","Then it's another subject, so far I'll be with a woman"
"ah ê, tem ke ser","ah é, tem que ser","Oh, it has to be"
"M dzêl essim, sobre ukê ke já bô sebê","Eu o disse assim, sobre o que já sabês","I said it like that, about what you already know"
"Bô te lembrá de Rosiane, ela fcá fria má mim, nem falá má mim dret","Tu te lembras da Rosiane, ela ficou fria comigo, nem fala como mais de forma correta","You remember Rosiane, she was cold with me, nor does he speak as more correctly"
Má també bô tinha ke esplical dret nem,Mas também tu tinhas que a explicar muito bem nem,But you also had to explain very well
