Capverdian Creole,Portuguese,English
ok mante kul...,ok fica bem...,
kes traboi p faze manera? Manera k no tite bem fazes? Kes d Matlab.,"os trabalhos para fazer, como vão? Como é que nós os vamos fazer? Os do Matlab.",
Se bzot kiser no pode faze um manha,Se vocês quiserem nós podemos fazer um amanhã,
No t faze kel ot depos,E depois fazemos o outro,
bô faze um PDF t xplica uke k bô faze ne kes código de SS? Ou bô pos so ne comentário...,Tu fizeste um PDF a explicar o que tu fizeste nos códigos de SS? Ou tu os colocas te só em comentários...,
"m tite bei faze um PDF, e m tite bei po comentarios també","eu estou a fazer um PDF, e também ou vou colocar alguns comentários também",
bô tava pode mandam kel imagem de exercico número 3 dfavor,Tu conseguiras me enviar a imagem do exercicio número 3 por favor,
So mas um bokedim k m k t na casa,Só mais um pouco porque não estou em casa,
"ok, cond bô txega ene p xkece dfavor","ok, quando tu chegares em casa não te esqueças por favor",
brigada desde ja,obrigada desde já,
"e sim, mim sebe oke k m tava faze sem bô parceira kkk","E sim, não sei o que eu faria sem ti minha parceira kkk",
hahahah...,hahahah...,
Bô tava so isga Call of Duty e programa,Tu ias somente jogar Call of Duty e programar,
Má um k t k internet p enviob el,Mas eu não estou com internet para podermos enviar para ti,
so xcolhe kes fot,só escolhe as fotos,
T dret,esta bem,
bô tem test de kes ote anos anteriores?,tu tens fotos dos outros anos anteriores?,
for mendem dfavor,"se sim, me envie-os por favor",
Es tem um mandod ne kel grup d sala,Eles enviaram um naquele grupo da sala,
"ma mandam el bo, dfavor e obrigada","mas me envia-o tu, por favor e obrigada",
depos bô mendem bos exercicios resolvid,depois me envia os teus exercícios resolvidos,
"Uke bô totxá de no dze profesor p trá nos uns duvida sobre es exercício de conversão manha datard, ou já bô sabes?","O que tu achas de amanhã nós dizemos ao professor para tirar-nos dúvidas sobre os exercícios de conversão amanhã à tarde, ou já os entendes?",
oia um beleza... alias um prenda d deus k profesor Emanuel Ribeiro dá nos p traboi de ESE,veja uma beleza... aliás uma prenda de Deus que o professor Emanuel Ribeiro deu para nós para o trabalho de ESE,
"Manha ê so fazel, e relatorio també.","Amanhã é só o fazer, e o relatório também.",
Loge dpos d test ê cagada a seguir d cagada,Logo depois do teste é merda a seguir de merda,
m mest bos exercicio de conversão,eu preciso dos teus exercícios de conversão,
Cond k proximo test d SD?,Quando é o próximo teste de SD?,
tava gosta d sebe també,Eu gostava de saber também?,
"pera txám xpia, t dzeb","Espera deixa-me ver, te digo",
m tem marcod SD e SS ne mesm dia,Eu tenho marcado SD e SS no mesmo dia,
Hm... txá d cosa,Hm... deixa-te de coisas,
Por iss um tite  perguntob,Por isso que te estou a perguntar,
"No tem d xpia, k s não","Nós temos que ver, porque se não",
"Ja no t fudid so essim, imagina","Já estamos fodidos só assim, imagina",
Lembra de kel disco,Lembra-te do disco,
jam intende transformada de Laplace,Já entendi a transformada de Laplace,
"e mi so em, so p oia ate k pont chegamos","e eu sozinho em, só para veres até que ponto chegamos",
Hahaha... grand avanço,Hahaha... grande avanço,
Bô intend kel FFT?,Tu intendes-te o FFT?,
"Sonia no tite bei por part, um cosa d cada vez hahaha...","Sonia nós vamos por partes, uma coisa de cada vez hahaha...",
Se bô djga intendel manha bô t xplicame el,Se tu chegares a o entender amanhã tu o explicas para mim,
"la tem troboi p intrega, el pol la moda s tem elgum troboi p bei intrega","aí tem só trabalhos para entregar, e ele colocou-os ai como se tem algum trabalho para ser entregue",
"Sim, kel dia um oial m tava bá dzeb essim","Sim, aquele dia eu os vi e eu ia te dizer assim",
Um totxá k el xkcê el pol essim,Eu acho que ele esqueceu e ele os colocou assim,
"segunda no tite bei perguntel, e mas nada...","Na segunda nós o vamos perguntar, e mais nada...",
p nos ene bei caba p faze merda,para nós não terminarmos a fazer merda,
jam intende kel DFT,Já entendi o DFT,
manham no t junta ideias,Amanhã nós juntamos ideias,
Sonia tava gosta d bô dzem oke k no tite bem xtuda,"Sonia, eu gostava que tu me dissesses o que é que nós vamos estudar",
So kel slide sobre modulação k profesor manda,Só o slide sobre modulação que o professor envio,
"E kes exercício resolvido, no k tem mas nada","E os exercícios resolvidos, e não temos mais nada",
"mim bô txem, tei pirdid mesm","pode me deixar, estou aqui mesmo perdido",
"Ma ê so kel la k materia k já no da, ma no t fodid mesm","Mas é só aquilo que é matéria que nos demos, mas estamos fodidos mesmo",
ê so bô sabe fórmula...,é só tu saberes fórmulas...,
m kre so p bô descubrime kel 20 ne kel exercicio k m mostrob aoje,Eu quero que tu só me descobres o 20 no exercício que eu te mostrei hoje,
manham bô tite bei xplikem uns dos cosa,amanhã tu vais me explicar algumas coisas,
"S m suber algum cosa, ene dem problema...","Se eu souber qualquer coisa, não tem problema...",
Mim t intende absolutament nada mesm...,Não estou a entender absolutamente nada mesmo...,
A noite ta nova... hahaha...,A noite está nova ainda... hahaha...,
Manha bô t xplikem uns muf,Amanhã tu me explicar umas coisas,
Einda bon descubri ond k kel 20 sei?,Ainda tu não descobriste de onde o 20 surgiu?,
não...,não...,
Leva bô disco p escola manha,Leva o teu disco para a escola amanhã,
Nha carregador d já del kul,O meu carregador já foi embora,
Porra...,Pora...,
Sim. Diab... Dem log um raiva,Sim. Diabo... Me deu logo uma raiva,
Mim k ideia d bem caba d faze um merda n kel codigo kene dite dá dret... Gora el t bei.,Eu ia acabar de fazer uma merda no código que não está a funcionar como deve ser... agora ele vai embora.,
"Porra, dá xpediente ne kompol, log manha go","Pora, tente arranja-lo, logo amanhã",
Es dia ei bô k t k stod sem el,Esses dias aqui tu não pode ficar sem ele,
Sonia mim ene t pode ebri kel relatório p manda Neves,Sonia não estou a conseguir abrir o relatório para enviar ao Neves,
Internet t mo merda,A internet está uma merda.,
"Go manham t xpiel n aula d Paulo, e intregel...","Agora amanhã eu o vejo na aula do paulo, e o entrego...",
"No t entregal manha, p sexta el k soma k problema","Nós o entregamos na sexta, para amanhã ele não aparecer com problemas",
combinod ntom,combinado então,
Se profesor dze algo important sobre kel traboi bô t dzm,Se o professor disser algo importante sobre o trabalho tu me dizes,
Kual test k no tem 29? E apartir d dond mesm?,Qual teste temos no dia 29? E este desde de onde mesmo?,
bô ta pode mendem kel primeiro exercicio d SS k bzot resolve,Tu podes me enviar o primeiro exercício de SS que vocês resolveram,
Grinhessim mim k t na casa,Eu não estou em casa agora,
cond bô txega...,quando tu chegares...,
"Algum cosa sobre comunicação..., jame k tite lembra grinhessim","Alguma coisa sobre comunicação..., agora já não estou a lembrar",
"Sonia, kel script?","Sonia, o script?",
Oh um xkceh...,Oh eu esqueci...,
Ess ê boa pá haha...,Essa é boa haha...,
já bô xtuda?,Tu já estudaste?,
m tei n el,Estou aqui a fazer isso,
mim t preocupod k kes dos Job d Emanuel,Eu estou preocupado com os dois Job do Emanuel,
Sonia cond k test d SD?,Sonia quando é o teste de SD?,
Acho k 9,Acho que é dia 9,
"m otxá solução d kel exercicio d SS, ma na python e el t tud resolvid","Eu encontrei a solução do exercício de SS, mas só que está em python e ele está tudo resolvido",
Acho k mim ma Txoba já tinha otxod el,Acho que eu e o Txoba já o tínhamos o encontrado,
"ma descontra, no t safa, essim m t xpera","mas relaxado, nós nos safamos, assim espero",
T xpera k sim,Espero que sim,
Einda jog ene caba? No pode dá volta por cima?,Ainda o jogo não terminou? Nós podemos voltar para cima?,
e ê uke k no tite faze,E é o que nós estamos a fazer,
go tem so faze um cosa simples p ganha mas um paus k programação,agora só vou fazer mais uma coisa simples para ganhar mais um dinheiro com programação,
"Sonia, manera k já no ta?","Sonia, como é que já estás?",
"Tite bei dret, porém um tava gosta d bô explicame uke k bô faze, e també uke k m tite bei faze cond no oia.","Está indo bem, porém eu gostava que tu me explicasses o que tu fizeste, e também o que eu teria que fazer, quando nos vermos.",
Sonia manha nos ene dem nenhum teste não?,Sonia amanhã nós não temos nenhum teste?,
"Não, mas no tem test sexta, kes d Emanuel","Não, mas nós temos teste na sexta, os do Emanuel.",
"já ta t infronta, era dia 7 ou 8 acho, ma jame k sabe.","Eu já estava a me apressar, era no dia 7 ou 8 acho, mas já não sei.",
Mim ene d nem na casa.,Eu não estou em casa.,
"K sabe se professor Emanuel tite bá mudas. Provavelment sim, ele fka p manda uns exercicio resolvid, mas el k dze nd","Não sei se o professor Emanuel os vai mudar. Provavelmente sim, ele ficou por enviar alguns exercícios resolvidos, mas ele não disse nada desde então",
"E manha no k nem tel, k p sabe se no tem test onom","E amanhã nós nem o temos, para saber se temos teste ou não.",
"Roberto, manha no pode dividi kel traboi d neves?","Roberto, amanhã nós podemos dividir o trabalho do Neves?",
"sim, bem pensod.","Sim, bem pensado.",
"Ok, se ê so mim ma bô e Rafa no t dividil t fka trenkil.","Ok, sendo assim eu tu e o Rafa o dividimos e nos ficará mais fácil.",
sim manham no t fala dret ntom.,"Sim, amanhã nos falamos melhor então.",
test t bem desd modulação digital.,O teste vem desde modulação digital.,
"Desculpem responde so agora, ê k nha movel já dal kul.","Desculpe-me por responder só agora, é porque o meu telefone já foi embora.",
Jame fka sem kel audio,Já fiquei sem o áudio.,
Jame fka fudid prop,Já fiquei fudida mesmo,
mim tem xtuda so kes exercicio resulvid k el da,eu vou estudar somente os exercícios resolvidos que ele deu,
Ond kel des?,Onde foi que ele os deu?,
el um folha so,Este é uma folha só,
Kond kel pos?,Quando foi que ele os colocou?,
m otxá kel cartao ma kel suport d lâmpada,eu encontrei um cartão e o suporte de lâmpada,
Bô otxá tud es?,Tudo encontraste todos eles?,
"Min oiel, ma ntom já no t kul","Eu não os vi, mas então já estamos bem",
Mim k otxá suport d lâmpada,eu não encontrei suporte de lâmpada,
ok kel no tem k bei compra um,ok aquele nós temos de ir comprar um,
"professor já t po mas exercicio resolvid, jal po um data go.","o professor irá colocar mais exercícios resolvidos, ele já colocou vários agora.",
"Ok, olime t bem xpia.","Ok, vou ver agora.",
tem ess e tem mes otes d tud oke k jal manda.,tem estes e tem mais outros de tudo o que ele já enviou,
Sonia até kes muf Ê descontra,Sónia até que essas coisas são relaxadas,
afinal no dá um bocod d muf,afinal demos muita coisa,
"Jame txekas, m t pos na cabla manha.","Eu já os vi, amanhã eu os coloco nas cabilas.",
xpera k es t servib.,Eu espero que te vão servir amanhã.,
"professor já dá trabalho pratico nove d SS, já bô oiel?","o professor já deu mas trabalhos novos para fazer de SS, tu já viste?",
"El ta ê prop bsugo, e el tem kel troboi la t dia 18","Ele está mesmo doido, e ele colocou o trabalho aí até o dia 18",
Uke k el t n el? Inda k oial. Kuas ele k sabe k gent t tmá féria.,O que ele deve estar a pensar? Ainda não o vi. quase ele não sabe que a gente vai tomar férias.,
"El cagal bnith em, Raffaele deve xtod frustród.","Ele caiu lindamente, o Raffaele deve estar frustrado.",
"Roberto, ê so 4 slide p test?","Roberto, são só 4 slides para o teste?",
desd d kel primer slide.,Desde o primeiro slide.,
"Ma ê so 4, ntom e so kes la",Mas são somente 4? Então é só isso.,
"Essim nenos documento p faze, ma bô tava t dze k tinha um d 60 e mim k oial, por iss m confundi","Assim menos documentação para fazer. Mas tu estavas a dizer que tinha um de 60 e eu não o vi, por isso eu confundi",
"Jam faze kel Post, e uke k falta agora?","Já fiz o Post, e o que falta por fazer agora?",
"Kes dos put, e bô tem k muda kel muf k m dzeb kel hora.","Os dois Put, e também tens de mudar aquela coisa que eu te disse aquela hora",
"kel la manha ou depos, alias manha ê no tem de xpia kel traboi d kel ote disciplina","Nós vemos aqui amanhã ou depois, aliás amanhã nós temos de ver o trabalho da outra disciplina",
Justim k einda no k faze nada d relatorio e manhã professor Neves ta pergunta sobre el,"Sim, isso mesmo porque ainda não fizemos nada do relatório e amanhã O professor Neves nos irá perguntar sobre isso",
cond m faze es cabla um t tenta faze algum cosa,Quando eu fizer estas cabilas eu tento fazer qualquer coisa,
"Ma relatório bô sebe k mim, bô e Rafa t pta mom n el n menos de 3 hora no t xcrevel","Mas no relatório tu sabes que eu, tu e o Rafa se colocarmos as mãos nele, em menos de 3 horas nós o escrevemos",
"Mim einda ene xtuda, t so caba termina traboi d Paulo. Del n fim, moda kel d SD, p m pode relaxa e foca tud n kel ote","Eu ainda não estudei, estou só a terminar o trabalho do Paulo. O dar no fim como o trabalho de SD, para eu poder-me relaxar e focar-me completamente nos outros",
Sonia mes um job d professor Emanuel.,"Sonia, mais um trabalho do professor Emanuel.",
"Rui dzem essim, el ê até kond?","O Rui disse sobre isso, este é até quando?",
até dia 17,é até dia 17,
"Ma pelo menos kes model t funciona, e iss já ê bom","Mas pelo menos o modelo já funciona, e isso já é bom",
"n professor Neves já tite caba d faze kel dzenvolviment, falta so kel fot d simulação e kel pseudocódigo","No professor Neves já estou a acabar de fazer o desenvolvimento, falta só a foto de simulação e o pseudocódigo",
"Okay, mim també t kuas p termina kel dmeu","Okay, eu também estou quase a terminar o meu",
"Rafa també t trebai n dceu kel dz. Mim tite fazel ma t fka so t para, k cabeça tite doem","O Rafa disse que ele está a trabalhar o seu quel disse. Eu estou aqui a o fazer mas fico só a parar, porque a cabeça está doer-me",
"Tem k ser porke einda semestre ene caba, kuas fim d semestre kre ê levam ma el","Tem que ser porque ainda o semestre não terminou, quase esse final de semestre quer é me levar com ele",
"Na txá diss, manera...","Não deixa-te disso, como assim...",
No tem x troboi p faze primer,Nós temos x trabalhos por fazer,
"Depos xtod avonted, bô t dze profesor p divid bzot dos nha nota","Depois podes ficar a vontade, tu podes dizer ao professor para dividir a nota para vocês dois",
Inda bô k otxá ninguém k kel test d professor Paulo d one possod,Ainda não encontraste ninguém com o teste do professor Paulo dos anos passados,
tont hora k bzot t bá p escola?,quantas horas vocês vão para a escola?,
"Mim tite bei 10 hora e tal, rafa també","Eu vou às 10 horas e pouco, o Rafa também",
"um t k dor d cabeca inda k pud ergui, for mas um bokod m ta bai","Eu estou com dor de cabeça ainda não pode me levantar, se for mais um tarde eu vou",
Bô descontraatxá projeto em...,Tu arrebentaste com o projeto em...,
"sim, no tive 18 kkk","sim, nós tivemos 18 kkk",
"mut bom, m gosta prop, e prova tont k bô tive n el?","muito bom, eu realmente gostei, e a prova quanto é que tu tiveste nela?",
Bô tive 18,Tu tiveste 18,
11.2,11.2,
mim tive 16.4,eu tive 16.4,
já bô t klor,tu já estas claro,
"disconde kkk, bô també","há muito tempo kkk, tu também",
Gora nos vida t depend d professor Emanuel,Agora a nossa vida depende do professor Emanuel,
"sim man moss, el el ta pol ê véspera de exame p d xtraga nos vida","Sim rapaz, ele vai os colocar na véspera do exame, só para nós estragar a vida",
Manera k percentagem de traboi e test na n disciplina de Paulo?,Como são as percentagens dos trabalhos e dos testes na disciplina do Paulo?,
"já m ptel n group, ma mim ma bô já t klor n el.","já os coloquei no grupo, mas eu e tu já estamos claros nele.",
gora ê preocupa k es ote disciplina,Agora é preocupar com as outras disciplinas,
Dzel sel kre ajuda p faze kel random,Diz a ele se ele quer ajuda para fazer o random,
"era cosa facil man, e mut mes rapt, ta xcreve kel codigo n 15 minute, faze kes test d funcionalidade n 5 minut. E gera kes valor n frações de segund.","era as coisas mais fáceis e muito mais rápido, ia escrever o código em 15 minutos, fazer testes de funcionalidades em 5 minutos. E gerar os valores em frações de segundos.",
"El k t intend de random, so d Matlab e oia k ene ê mut em...","Ele não entende de random, só de Matlab e olhas que não é muito em...",
mas d Matlab el t intende um tont,mas de Matlab ele entende muito,
El t imtend um bokedim ao pont d sabe k no faze merda ne kes traboi,Ele entende um pouquinho ao ponto de saber que nós fizemos merda nos trabalhos,
"sim, um bocod prop","sim, muita mesmo",
"Ma enfin, no t sobrevive. No tem k bei k esperança, afinal nos um nação bem d esperança","Mas enfim, nós sobreviveremos. Temos que ir com esperança, afinal a nossa nação veio da esperança",
Go ê so xpera...,Agora é só esperar...,
Sonia dá bô emig fala dzel p po nota.,Sonia fala com o teu amigo e diz-lhe para colocar as notas.,
El k deve xtód nem t lembra de nos,Ele não deve estar nem a lembrar de nós,
"Ma tem exame d SS já segunda, el devia xpia ess cosa","Mas tem exames de SS já na segunda, ele deveria ver essas coisas",
D fact...,De facto...,
El t po nota dia dming,Ele vai colocar as notas no domingo,
oke k el t n el?,O que é que ele está a pensar?,
"Alguem tem k bem mandal email, pel dá gent um luz","Alguém tem o enviar um email, para ele nos dar uma luz",
kem tite bem ser sacrifício dess nação?,quem vai ser o sacrifício dessa nação?,
iss ago mim ene sabe...,isso agora eu não sei...,
professor Sidney txmob?,O professor Sidney te telefonou?,
no tem k bem dá fala ntom kkk,Nós temo de falar então kkk,
txá menssagem n group kk,deixar mensagem no grupo kkk,
No podia mandal email de kel email d sala,Nós poderíamos enviar-lhe um email no email da sala,
email n kel email de sala!!! kkk,E Mail no email da sala!!! kkk,
"sim, essim ninguem era sacrificio, pergunta pessoal uke k es t otxá","Sim assim ninguém era sacrifício, pergunta para o pessoal qual a opinião deles",
"ker dizer bô t tem ideia p bem mendem faze nem haha..., bô k dod","quer dizer tu fórmulas a ideia para vir me mandar executar nem haha..., tu é que és doido",
"Pora jas t até pust lista de inscritos p exame, inda broda k po nota","Pora já ate colocaram as lista de inscritos para o exame, e ainda o nosso amigo não colocou as notas",
klar cad um t faze c parte,claro cada um faz a sua parte,
mim kel man la t mata gent,"Eu, aquele gajo nos tira do sério",
go k já bô txega,Agora que tu já chegaste,
e mim segunda m t kmeça traboi,E eu começo a trabalhar na segunda,
"Sim, aí tem bem ot psoa p escreve kel email","Sim, aí tem de vir outra pessoa escrever o email",
kel gaz deve despaxam p m pode resolve nha vida,aquele gajo deve me despachar para eu poder resolver a minha vida,
E uk k sidney dzeb?,E o que foi que o Sidney te disse?,
"foi sobre oke k Paulo tinha nos dzid, e el dze p m passa la segunda detard","foi sobre o que o Paulo tinha nos dito, e ele disse para eu passar ai na segunda de tarde",
Es t bá paga nos nem?,Eles vão pagar a gente nem?,
Sidney fala so n contribui nunca el fala n preço,O Sidney falou só em contribuir e nunca falou de preço,
El ê só venha nós,Ele é só venha a nós,
"Ma mim t des um mom e k, sempre já ê kelker cosa p bô n nha documentação","Mas eu posso lhes dar uma mão e que, sempre já é alguma coisa para colocar nas minhas documentações",
Emanuel já po algum cosa?,O Emanuel já colocou qualquer coisa?,
El so dze nota primer troboi de SS mes nd,Ele só disse a primeira nota do trabalho de SS e mais nada,
E manera k foi?,E como é que foi?,
"Mim tive 15 n el, e bô manera?","Eu tinha 15 nele, e tu como foi?",
"Inda k nm xpial, el pol ne classroom?","Ainda não o vi, ele o colocou no Classroom?",
Yh n kel primer trabalho prático,Yh no primeiro trabalho prático,
Jame t bem xpia,Já já eu o vou ver,
Mi t xtranha el ene dzem nada de meriod també,Eu até achei estranho ele não ter me dito nada de errado também,
Calma ainda t na temp,"Calma, ainda há tempo para isso",
El t dá nos el ne Sistemas de Telecomunicações,Ele vais nos o entregar em Sistemas de Telecomunicações,
Sim ê dvera,Sim é verdade,
"Ma se ê agora kel tite corrigi kes traboi d Sistemas e Sinais, até segunda el k tite bá tem temp de corrigi kes de Sistemas de Telecomunicações?","Mas se é agora que ele está a corrigir os trabalhos de Sistemas e Sinais, até segunda ele terá corrigido os de Sistemas de Telecomunicações?",
E el tem k faze random,E ele tem que ir fazer um random,
Oia bô logica kkk,Olha para a tua lógica kkk,
El dame  12,Ele me deu 12,
Manera k possivel,Como que isso é possível,
"Ess k nha pergunta prop, mim ma bô t faze tud igual","Essa que é a minha pergunta mesmo, eu e tu fizemos tudo igual",
"Calma, el erra conta so pode","Calma, ele errou de cálculos só pode",
"Jal kmessal logue meriod, e einda nem len txega n Sistemas d Telecomunicações","Ele já começou logo de mal a primeiro, e ainda ele nem chegou em Sistemas de Telecomunicações",
La k pior,Ai que é primeiro,
"T xpera kel t pensa um kzinha ne kes próximo, sel corrigis klar","Espero que pensou em pouco nos próximos, se ele os corrigiu claro",
La agora um t prop k med,Ai eu estou mesmo com medo,
"mim p falob verdade, t preferi passa n Sistema de Telecomunicações do k Sistemas e Sinais, porke Sistemas e Sinais ê mes descontra","eu para te falar verdade prefiro transitar em Sistemas de Telecomunicações do que Sistemas e Sinais, porque Sistemas e Sinais é mais relaxado",
Sim moss kes cosa de Sistemas de Telecomunicações ê chato,"Sim rapaz, aquelas coisas de Sistemas de Telecomunicações são mais chatas",
Kel chat e favor,chato é favor,
Ma jame oia k no t fudido,Mas já vi que nós estamos fudidos,
"Ja bô sebe kuale êm, cumplicod... Só resta espera sentença final","Tu já sabes como é, complicado... Só resta esperar a sentença final",
Xpera kel t ser justa,Eu espera que ela seja justa,
T espera k sim kkkk,Espero mesmo kkk,
Ntom el t po nota t hoje nem,Então ele colocará as notas até hoje nem,
T prop li t xperal,Eu estou mesmo aqui a espera,
einda nada nem,Ainda nada nem,
cond l pos bô manadame um print k um t sem internet,"quando ele os colocarem, tu me envias um print porque eu estou sem internet",
"mim tei so t xpia, iss e cond el pos, s el pos","estou aqui só a ver, isso é só quando ele os colocar, se ele os colocar",
"Moss, ma iss já ê abuso","Rapaz, mas isso já abuso",
Pior ê no xpera tont essim e el dá nos resultod meriod,Pior é nós esperarmos tanto e ele nos dar resultados errados,
Kel k pior proo,Isso que é pior mesmo,
Professor ê abusado,O professor é abusado,
Bô t oia nem,Tu estas a ver nem,
"Falta 1 dia p exame, e einda nada d kel man","Falta um dia para o exame, e ainda nada do gajo",
Jal dá nota d ot traboi?,Ele já deu a nota de outro trabalho?,
m oia conversa kel dze Txoba,Eu vi a conversa que ele disse para o Txoba,
Tont k el dob?,Quanto foi que ele te deu?,
Mim já dsisti d xpera sejá o k for n kes disciplina,Eu já desisti de esperar seja o que for naquelas disciplinas,
S for p faze proximo one t fazel e pont final,Se for para ir fazer no próximo ano vou ai fazer e ponto final,
"Nera, mim el dame 13 ness ot traboi","Sim claro, eu ele me deu 13 neste trabalho",
"Mim tive 11, einda el dze k m tem exercicios iguais, a otes psoa e el ene d tolera iss i k","Eu tive 11, e ainda ele me disse que eu tenho exercícios iguais a outras pessoas e ele não tolera isso e que",
"So k defacto el tem razao, hoje m prende uns dos cosa","Só que ele tem razão, hoje eu aprendi algumas coisas",
Asserio kel dzeb iss?,A sério que ele te disse isso?,
"Talvez el corrigi nha traboi primeiro, sel tava corrigi kel bossa primer mim kel tava dá esse fala","Talvez ele corrigiu o meu trabalho primeiro, se ele corrigisse o teu primeiro era eu que ele ia dizer estas conversas",
"Ma paciencia go, kre oia oke kel tem dze ness ote","Mas paciência agora, quero só ver o que ele vai dizer nos outros",
E Sistemas de Telecomunicações el k t dze gent nada,E Sistemas de Telecomunicações ele ainda não disse nada para a gente,
"Sel segui kes logic, no t pirdid la","Se ele seguir com essa lógica, aí nós estamos perdidos",
No t prop fudido,Nós estamos mesmo fodidos,
Por acaso bô inscreve p exame?,Por acaso tu te inscreveste para o exame?,
Tont kel dob ne kel traboi sobre filtragem?,Quanto que ele te deu no trabalho sobre filtragem?,
"T otxá k no t passa, sel k corrigi kes test","Eu acho que nós vamos transitar, se ele não corrigir os testes",
"Eh moss, bô t usa kel email d sala?","O rapaz, tu poderias utilizar o email da sala?",
m t usa so kel d xcola,eu utilizo só o da escola,
m cris manda Carla um email,eu queria enviar um email para a Carla,
"No tem k pol pressão ,exame ê manha.","Nós temos de colocar pressão, o exame é amanhã.",
pensa era hoje,pensei que era hoje,
bei xpia la bei,vai ver ai vai,
Exame de Sistemas e Sinais agora ê dia 3,O Exame de Sistemas e Sinais agora é dia 3,
Go k kel gaz bé po nota,Agora que o gajo está a colocar as notas,
Bô ene inscreve p exam nem?,Tu não inscreveste para o exame?,
Não,Não,
"mim jam passa n Sistemas e Sinais, e bo?","Eu já transitei em Sistemas e Sinais, e tu?",
"Inda el k dame nota, mim tive 13","Ainda ele não me deu a minha nota, eu tive 13",
Kre so oia Sistemas de Telecomunicações,Quero só ver Sistemas de Telecomunicações,
mim kel k m t mas curiose,Para mim aquele é o que eu estou mais curioso,
Aí k vai ser merda...,Aí que vai ser merda...,
um dor d cada vez,uma dor de cada vez,
pode contob um cosa?,Eu posso te contar algo?,
"bô sebe kel fema k m dzeb tava xtod t fca ma el e k... el dá cort n nos muf e tal, porke el t confusa e tal","Tu sabes aquela miúda que eu te disse que estava a envolver com ela e que... ela deu fim nas coisas e tal, porque ela está confusa e tal",
"ntom ou seja, mural d xtória, m t livre","então ou seja, mural da história, estou livre",
"sei fora, agora ninguém t aguentób","Sai fora, agora ninguém te aguenta",
"mim já tava k uns muf k m tava t dze k não, ma gora não","Eu já estava com umas coisas que estava a dizer que não, mas agora não",
"ess já segunda vez, mim nunca involve p vale, mas p confessob tem uns cosa k m t realment gosta n ela","Essa já é a segunda vez, eu nunca envolvi para valer, mas para te confessar tem umas coisas que eu realmente gosto nela",
"mas vida ê um sopre, e no t n verão kkk",mas a vida é um sopro e nós estamos no verão kkk,
Vida ê próp um sopro. Tont k bô tive?,"Vida é mesmo um sopro, Quanto tu tiveste?",
ma sonia no sebe k por part el tem razão,Mas Sonia nós sabemos que por partes ele tem razão,
"el pode ter trozod n dá nota e tal, mas mim ciente k mim ene faze muita coisa","ele pode ter tirado da nota e que, mas eu sou ciente que não fiz muita coisa",
Ma maltas ê logue kont d txemal,mas o pessoal vêm logo com ideias de o chamar,
"ê iss maltas pensa so mode el demora e tal, el tem k ser obrigod a dob kel nota","É isso, o pessoal pensa que só por que ele demorou e tal, ele tem de ser obrigado a te dar a nota",
"mim cient d oke k m faze, e ene foi d kes grand cosa, e m sebe","eu sou ciente de o que eu fiz e não foi grandes coisas, e eu sei",
"mim basta m faze o suficient k p m passa, mas nd","Eu basta fizesse o suficiente para transitar, mas nada",
"Maltas k sabe comporta, e la ene dem dond reclama k el dá nota d tud kes traboi","O pessoal não sabe comportar, e aí não onde reclamar porque ele deu as notas de todos os trabalhos",
oia desculpa dess man,Vê aqui a desculpa dessa gajo,
E gora el fazes dret?,E agora ele os fez de forma correta?,
Maltas k sabe dirigi p profesor,O pessoal não sabe dirigir para os professores,
Xtronh Txoba k soma ne sij cosa,Estranho o Txoba não apareceu com as suas coisas,
"el t colod, einda el ene dzem nada mesm","Ele está calado, ainda ele não disse nada mesmo",
e Rafa passa?,E o Rafa transitou?,
Gora txoba um tite otxá mut xtronh einda el k manifesta,Agora o Txoba estou a encontrar muito estranho ainda ele não ter dito nada,
El passa també,Ele transitou também,
bei oia oke k el xcreve n Classroom,Vai lá ver o que ele escreveu no Classroom,
e el mandam um mensagem t dze no tem partes n nha troboi k identica que otes troboi e tal,e ele disse que tem partes no meu trabalho que se identificam com outros trabalhos e que,
Sonia nes ultimos dias já m prende uns dos lição,Sonia nos últimos dias eu já aprendi algumas lições,
próximo semestre mim ene dit bei mesma coisa p xcola,No próximo semestre eu não irei a mesmo coisas para a escola,
Mim inda k oia,Eu ainda não vi,
"Bô t pode xpia la ne nha email, please?","Tu consegues ver ai no meu email, por favor?",
"K t k net, e bô tinha k dam bô email, ou el t xcrite n nha book","Não estou com internet, e tinhas que me dar o teu email, ou este está escrito no meu book",
pode xpia jame oies,podes deixar eu já os vi,
"Já el po nota final, mim já t d féria","Ele já colocou a nota final, eu já estou de férias",
Ess li k nota final,Esse aqui que é a nota final,
sim ma n bô einda el ene po,sim mas em ti ele ainda não colocou,
E mim ei t pensa k já tinha reprovod,E eu aqui a pensar que já tinha reprovado,
"Essim kel perce, tava t preocupa","Assim eu apareceu, eu já estava a preocupar",
ma calma kel k bossa einda t gordod,mas calma o que é teu ainda está guardado,
Jal dame el,Ele já me o deu,
Um tive 13 valores,Eu tive 13 valores,
bô kt sebe,Tu é que estás ótimo,
e bô tive tont?,e tu tiveste quanto?,
Pelo menos já no escapa desse vez,Pelo menos já estamos safos dessa vez,
Ma m prende uns dos cosa nes últimos dia,Mas eu aprendi algumas coisas nesses últimos dias,
No tava bastant enganód k el k tava bá oia kes traboi,Nós estávamos bastante enganados que ele não ia ver os trabalhos,
Não so iss,Não só isso,
